match,teaminnings,battingPos,BATTING,R,B,M,4s,6s,SR
New Zealand Vs Afghanistan,New Zealand,3,Rachin Ravindra,32,41,64,2,1,78.04
New Zealand Vs Afghanistan,New Zealand,4,Daryl Mitchell,1,7,6,0,0,14.28
New Zealand Vs Afghanistan,New Zealand,5,Tom Latham (c)†,68,74,114,3,2,91.89
New Zealand Vs Afghanistan,New Zealand,6,Glenn Phillips,71,80,109,4,4,88.75
New Zealand Vs Afghanistan,New Zealand,7,Mark Chapman,25,12,15,2,1,208.33
New Zealand Vs Afghanistan,New Zealand,8,Mitchell Santner,7,5,13,1,0,140.00
New Zealand Vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz,11,21,24,0,1,52.38
New Zealand Vs Afghanistan,Afghanistan,2,Ibrahim Zadran,14,15,27,2,0,93.33
New Zealand Vs Afghanistan,Afghanistan,3,Rahmat Shah,36,62,86,1,0,58.06
New Zealand Vs Afghanistan,Afghanistan,4,Hashmatullah Shahidi (c),8,29,30,1,0,27.58
New Zealand Vs Afghanistan,Afghanistan,5,Azmatullah Omarzai,27,32,39,2,0,84.37
New Zealand Vs Afghanistan,Afghanistan,6,Ikram Alikhil †,19,21,42,3,0,90.47
New Zealand Vs Afghanistan,Afghanistan,7,Mohammad Nabi,7,9,10,1,0,77.77
New Zealand Vs Afghanistan,Afghanistan,8,Rashid Khan,8,13,10,0,1,61.53
New Zealand Vs Afghanistan,Afghanistan,9,Mujeeb Ur Rahman,4,3,2,1,0,133.33
New Zealand Vs Afghanistan,Afghanistan,10,Naveen-ul-Haq,0,1,1,0,0,0.00
New Zealand Vs Afghanistan,Afghanistan,11,Fazalhaq Farooqi,0,2,1,0,0,0.00
Netherlands Vs South Africa,Netherlands,1,Vikramjit Singh,2,16,28,0,0,12.50
Netherlands Vs South Africa,Netherlands,2,Max O'Dowd,18,25,33,4,0,72.00
Netherlands Vs South Africa,Netherlands,3,Colin Ackermann,12,25,40,1,0,48.00
Netherlands Vs South Africa,Netherlands,4,Bas de Leede,2,7,16,0,0,28.57
Netherlands Vs South Africa,Netherlands,5,Sybrand Engelbrecht,19,37,41,1,1,51.35
Netherlands Vs South Africa,Netherlands,6,Teja Nidamanuru,20,25,56,3,0,80.00
Netherlands Vs South Africa,Netherlands,7,Scott Edwards (c)†,78,69,102,10,1,113.04
Netherlands Vs South Africa,Netherlands,8,Logan van Beek,10,27,22,1,0,37.03
Netherlands Vs South Africa,Netherlands,9,Roelof van der Merwe,29,19,30,3,1,152.63
Netherlands Vs South Africa,Netherlands,10,Aryan Dutt,23,9,14,0,3,255.55
Netherlands Vs South Africa,South Africa,1,Temba Bavuma (c),16,31,35,2,1,51.61
Netherlands Vs South Africa,South Africa,2,Quinton de Kock †,20,22,28,3,0,90.90
Netherlands Vs South Africa,South Africa,3,Rassie van der Dussen,4,7,16,0,0,57.14
Netherlands Vs South Africa,South Africa,4,Aiden Markram,1,3,4,0,0,33.33
Netherlands Vs South Africa,South Africa,5,Heinrich Klaasen,28,28,36,4,0,100.00
Netherlands Vs South Africa,South Africa,6,David Miller,43,52,81,4,1,82.69
Netherlands Vs South Africa,South Africa,7,Marco Jansen,9,25,22,0,0,36.00
Netherlands Vs South Africa,South Africa,8,Gerald Coetzee,22,23,33,2,1,95.65
Netherlands Vs South Africa,South Africa,9,Keshav Maharaj,40,37,54,5,1,108.10
Netherlands Vs South Africa,South Africa,10,Kagiso Rabada,9,6,9,0,1,150.00
Netherlands Vs South Africa,South Africa,11,Lungi Ngidi,7,24,35,0,0,29.16
Sri Lanka Vs Australia,Sri Lanka,1,Pathum Nissanka,61,67,103,8,0,91.04
Sri Lanka Vs Australia,Sri Lanka,2,Kusal Perera,78,82,123,12,0,95.12
Sri Lanka Vs Australia,Sri Lanka,3,Kusal Mendis (c)†,9,13,27,0,0,69.23
Sri Lanka Vs Australia,Sri Lanka,4,Sadeera Samarawickrama,8,8,15,1,0,100.00
Sri Lanka Vs Australia,Sri Lanka,5,Charith Asalanka,25,39,75,0,1,64.10
Sri Lanka Vs Australia,Sri Lanka,6,Dhananjaya de Silva,7,13,13,1,0,53.84
Sri Lanka Vs Australia,Sri Lanka,7,Dunith Wellalage,2,9,9,0,0,22.22
Sri Lanka Vs Australia,Sri Lanka,8,Chamika Karunaratne,2,11,12,0,0,18.18
Sri Lanka Vs Australia,Sri Lanka,9,Maheesh Theekshana,0,5,7,0,0,0.00
Sri Lanka Vs Australia,Sri Lanka,10,Lahiru Kumara,4,8,6,1,0,50.00
Sri Lanka Vs Australia,Sri Lanka,11,Dilshan Madushanka,0,6,12,0,0,0.00
Sri Lanka Vs Australia,Australia,1,Mitchell Marsh,52,51,67,9,0,101.96
Sri Lanka Vs Australia,Australia,2,David Warner,11,6,16,0,1,183.33
Sri Lanka Vs Australia,Australia,3,Steven Smith,0,5,4,0,0,0.00
Sri Lanka Vs Australia,Australia,4,Marnus Labuschagne,40,60,100,2,0,66.66
Sri Lanka Vs Australia,Australia,5,Josh Inglis †,58,59,75,5,1,98.30
Sri Lanka Vs Australia,Australia,6,Glenn Maxwell,31,21,30,4,2,147.61
Sri Lanka Vs Australia,Australia,7,Marcus Stoinis,20,10,10,2,1,200.00
Afghanistan Vs England,Afghanistan,1,Rahmanullah Gurbaz,80,57,87,8,4,140.35
Afghanistan Vs England,Afghanistan,2,Ibrahim Zadran,28,48,73,3,0,58.33
Afghanistan Vs England,Afghanistan,3,Rahmat Shah,3,8,10,0,0,37.50
Afghanistan Vs England,Afghanistan,4,Hashmatullah Shahidi (c),14,36,46,0,0,38.88
Afghanistan Vs England,Afghanistan,5,Azmatullah Omarzai,19,24,25,1,1,79.16
Afghanistan Vs England,Afghanistan,6,Ikram Alikhil †,58,66,92,3,2,87.87
Afghanistan Vs England,Afghanistan,7,Mohammad Nabi,9,15,14,1,0,60.00
Afghanistan Vs England,Afghanistan,8,Rashid Khan,23,22,37,3,0,104.54
Afghanistan Vs England,Afghanistan,9,Mujeeb Ur Rahman,28,16,22,3,1,175.00
Afghanistan Vs England,Afghanistan,10,Naveen-ul-Haq,5,6,9,1,0,83.33
Afghanistan Vs England,Afghanistan,11,Fazalhaq Farooqi,2,4,7,0,0,50.00
Afghanistan Vs England,England,1,Jonny Bairstow,2,4,5,0,0,50.00
Afghanistan Vs England,England,2,Dawid Malan,32,39,61,4,0,82.05
Afghanistan Vs England,England,3,Joe Root,11,17,23,2,0,64.70
Afghanistan Vs England,England,4,Harry Brook,66,61,123,7,1,108.19
Afghanistan Vs England,England,5,Jos Buttler (c)†,9,18,21,1,0,50.00
Afghanistan Vs England,England,6,Liam Livingstone,10,14,15,1,0,71.42
Afghanistan Vs England,England,7,Sam Curran,10,23,22,0,0,43.47
Afghanistan Vs England,England,8,Chris Woakes,9,26,21,1,0,34.61
Afghanistan Vs England,England,9,Adil Rashid,20,13,24,2,0,153.84
Afghanistan Vs England,England,10,Mark Wood,18,22,26,3,0,81.81
Afghanistan Vs England,England,11,Reece Topley,15,7,8,3,0,214.28
Pakistan Vs India,Pakistan,1,Abdullah Shafique,20,24,39,3,0,83.33
Pakistan Vs India,Pakistan,2,Imam-ul-Haq,36,38,64,6,0,94.73
Pakistan Vs India,Pakistan,3,Babar Azam (c),50,58,89,7,0,86.20
Pakistan Vs India,Pakistan,4,Mohammad Rizwan †,49,69,89,7,0,71.01
Pakistan Vs India,Pakistan,5,Saud Shakeel,6,10,12,0,0,60.00
Pakistan Vs India,Pakistan,6,Iftikhar Ahmed,4,4,2,1,0,100.00
Pakistan Vs India,Pakistan,7,Shadab Khan,2,5,11,0,0,40.00
Pakistan Vs India,Pakistan,8,Mohammad Nawaz,4,14,25,0,0,28.57
Pakistan Vs India,Pakistan,9,Hasan Ali,12,19,21,2,0,63.15
Pakistan Vs India,Pakistan,10,Shaheen Shah Afridi,2,10,12,0,0,20.00
Pakistan Vs India,Pakistan,11,Haris Rauf,2,6,9,0,0,33.33
Pakistan Vs India,India,1,Rohit Sharma (c),86,63,91,6,6,136.50
Pakistan Vs India,India,2,Shubman Gill,16,11,11,4,0,145.45
Pakistan Vs India,India,3,Virat Kohli,16,18,31,3,0,88.88
Pakistan Vs India,India,4,Shreyas Iyer,53,62,80,3,2,85.48
Pakistan Vs India,India,5,KL Rahul †,19,29,33,2,0,65.51
Bangladesh Vs New Zealand,Bangladesh,1,Litton Das,0,1,1,0,0,0.00
Bangladesh Vs New Zealand,Bangladesh,2,Tanzid Hasan,16,17,37,4,0,94.11
Bangladesh Vs New Zealand,Bangladesh,3,Mehidy Hasan Miraz,30,46,52,4,0,65.21
Bangladesh Vs New Zealand,Bangladesh,4,Najmul Hossain Shanto,7,8,20,1,0,87.50
Bangladesh Vs New Zealand,Bangladesh,5,Shakib Al Hasan (c),40,51,75,3,2,78.43
Bangladesh Vs New Zealand,Bangladesh,6,Mushfiqur Rahim †,66,75,93,6,2,88.00
Bangladesh Vs New Zealand,Bangladesh,7,Towhid Hridoy,13,25,30,0,0,52.00
Bangladesh Vs New Zealand,Bangladesh,8,Mahmudullah,41,49,58,2,2,83.67
Bangladesh Vs New Zealand,Bangladesh,9,Taskin Ahmed,17,19,25,0,2,89.47
Bangladesh Vs New Zealand,Bangladesh,10,Mustafizur Rahman,4,10,14,0,0,40.00
Bangladesh Vs New Zealand,Bangladesh,11,Shoriful Islam,2,3,9,0,0,66.66
Bangladesh Vs New Zealand,New Zealand,1,Devon Conway,45,59,91,3,0,76.27
Bangladesh Vs New Zealand,New Zealand,2,Rachin Ravindra,9,13,12,2,0,69.23
Bangladesh Vs New Zealand,New Zealand,3,Kane Williamson (c),78,107,158,8,1,72.89
Bangladesh Vs New Zealand,New Zealand,4,Daryl Mitchell,89,67,103,6,4,132.83
Bangladesh Vs New Zealand,New Zealand,5,Glenn Phillips,16,11,22,1,1,145.45
South Africa Vs Australia,South Africa,1,Quinton de Kock †,109,106,147,8,5,102.83
South Africa Vs Australia,South Africa,2,Temba Bavuma (c),35,55,84,2,0,63.63
South Africa Vs Australia,South Africa,3,Rassie van der Dussen,26,30,33,2,0,86.66
South Africa Vs Australia,South Africa,4,Aiden Markram,56,44,61,7,1,127.27
South Africa Vs Australia,South Africa,5,Heinrich Klaasen,29,27,40,3,0,107.40
South Africa Vs Australia,South Africa,6,David Miller,17,13,35,1,1,130.76
South Africa Vs Australia,South Africa,7,Marco Jansen,26,22,25,3,1,118.18
South Africa Vs Australia,South Africa,8,Kagiso Rabada,0,1,4,0,0,0.00
South Africa Vs Australia,South Africa,9,Keshav Maharaj,0,2,1,0,0,0.00
South Africa Vs Australia,Australia,1,Mitchell Marsh,7,15,27,0,0,46.66
South Africa Vs Australia,Australia,2,David Warner,13,27,33,2,0,48.14
South Africa Vs Australia,Australia,3,Steven Smith,19,16,20,4,0,118.75
South Africa Vs Australia,Australia,4,Marnus Labuschagne,46,74,125,3,0,62.16
South Africa Vs Australia,Australia,5,Josh Inglis †,5,4,5,1,0,125.00
South Africa Vs Australia,Australia,6,Glenn Maxwell,3,17,17,0,0,17.64
South Africa Vs Australia,Australia,7,Marcus Stoinis,5,4,6,1,0,125.00
South Africa Vs Australia,Australia,8,Mitchell Starc,27,51,69,3,0,52.94
South Africa Vs Australia,Australia,9,Pat Cummins (c),22,21,29,4,0,104.76
South Africa Vs Australia,Australia,10,Adam Zampa,11,16,25,1,0,68.75
South Africa Vs Australia,Australia,11,Josh Hazlewood,2,2,1,0,0,100.00
Afghanistan Vs India,Afghanistan,1,Rahmanullah Gurbaz †,21,28,65,3,1,75.00
Afghanistan Vs India,Afghanistan,2,Ibrahim Zadran,22,28,31,4,0,78.57
Afghanistan Vs India,Afghanistan,3,Rahmat Shah,16,22,37,3,0,72.72
Afghanistan Vs India,Afghanistan,4,Hashmatullah Shahidi (c),80,88,128,8,1,90.90
Afghanistan Vs India,Afghanistan,5,Azmatullah Omarzai,62,69,82,2,4,89.85
Afghanistan Vs India,Afghanistan,6,Mohammad Nabi,19,27,52,1,0,70.37
Afghanistan Vs India,Afghanistan,7,Najibullah Zadran,2,8,6,0,0,25.00
Afghanistan Vs India,Afghanistan,8,Rashid Khan,16,12,18,1,1,133.33
Afghanistan Vs India,Afghanistan,9,Mujeeb Ur Rahman,10,12,22,2,0,83.33
Afghanistan Vs India,Afghanistan,10,Naveen-ul-Haq,9,8,8,1,0,112.50
Afghanistan Vs India,India,1,Rohit Sharma (c),131,84,111,16,5,155.95
Afghanistan Vs India,India,2,Ishan Kishan,47,47,78,5,2,100.00
Afghanistan Vs India,India,3,Virat Kohli,55,56,64,6,0,98.21
Afghanistan Vs India,India,4,Shreyas Iyer,25,23,31,1,1,108.69
Sri Lanka Vs Pakistan,Sri Lanka,1,Pathum Nissanka,51,61,79,7,1,83.60
Sri Lanka Vs Pakistan,Sri Lanka,2,Kusal Perera,0,4,7,0,0,0.00
Sri Lanka Vs Pakistan,Sri Lanka,3,Kusal Mendis †,122,77,124,14,6,158.44
Sri Lanka Vs Pakistan,Sri Lanka,4,Sadeera Samarawickrama,108,89,139,11,2,121.34
Sri Lanka Vs Pakistan,Sri Lanka,5,Charith Asalanka,1,3,5,0,0,33.33
Sri Lanka Vs Pakistan,Sri Lanka,6,Dhananjaya de Silva,25,34,47,3,0,73.52
Sri Lanka Vs Pakistan,Sri Lanka,7,Dasun Shanaka (c),12,18,23,0,0,66.66
Sri Lanka Vs Pakistan,Sri Lanka,8,Dunith Wellalage,10,8,18,1,0,125.00
Sri Lanka Vs Pakistan,Sri Lanka,9,Maheesh Theekshana,0,4,6,0,0,0.00
Sri Lanka Vs Pakistan,Sri Lanka,10,Matheesha Pathirana,1,3,3,0,0,33.33
Sri Lanka Vs Pakistan,Pakistan,1,Abdullah Shafique,113,103,150,10,3,109.70
Sri Lanka Vs Pakistan,Pakistan,2,Imam-ul-Haq,12,12,15,1,0,100.00
Sri Lanka Vs Pakistan,Pakistan,3,Babar Azam (c),10,15,17,1,0,66.66
Sri Lanka Vs Pakistan,Pakistan,4,Mohammad Rizwan †,131,121,193,8,3,108.26
Sri Lanka Vs Pakistan,Pakistan,5,Saud Shakeel,31,30,57,2,0,103.33
Sri Lanka Vs Pakistan,Pakistan,6,Iftikhar Ahmed,22,10,18,4,0,220.00
England Vs Bangladesh,England,1,Jonny Bairstow,52,59,80,8,0,88.13
England Vs Bangladesh,England,2,Dawid Malan,140,107,106,16,5,130.84
England Vs Bangladesh,England,3,Joe Root,82,68,107,8,1,120.58
England Vs Bangladesh,England,4,Jos Buttler (c)†,20,10,11,1,1,200.00
England Vs Bangladesh,England,5,Harry Brook,20,15,23,3,0,133.33
England Vs Bangladesh,England,6,Liam Livingstone,0,1,1,0,0,0.00
England Vs Bangladesh,England,7,Sam Curran,11,15,20,1,0,73.33
England Vs Bangladesh,England,8,Chris Woakes,14,11,21,2,0,127.27
England Vs Bangladesh,England,9,Adil Rashid,11,7,8,1,0,157.14
England Vs Bangladesh,England,10,Mark Wood,6,5,6,1,0,120.00
England Vs Bangladesh,England,11,Reece Topley,1,2,2,0,0,50.00
England Vs Bangladesh,Bangladesh,1,Litton Das,76,66,99,7,2,115.15
England Vs Bangladesh,Bangladesh,2,Tanzid Hasan,1,2,7,0,0,50.00
England Vs Bangladesh,Bangladesh,3,Najmul Hossain Shanto,0,1,1,0,0,0.00
England Vs Bangladesh,Bangladesh,4,Shakib Al Hasan (c),1,9,16,0,0,11.11
England Vs Bangladesh,Bangladesh,5,Mehidy Hasan Miraz,8,7,12,1,0,114.28
England Vs Bangladesh,Bangladesh,6,Mushfiqur Rahim †,51,64,93,4,0,79.68
England Vs Bangladesh,Bangladesh,7,Towhid Hridoy,39,61,70,2,0,63.93
England Vs Bangladesh,Bangladesh,8,Mahedi Hasan,14,32,39,1,0,43.75
England Vs Bangladesh,Bangladesh,9,Taskin Ahmed,15,25,35,0,1,60.00
England Vs Bangladesh,Bangladesh,10,Shoriful Islam,12,14,17,2,0,85.71
England Vs Bangladesh,Bangladesh,11,Mustafizur Rahman,3,9,12,0,0,33.33
New Zealand Vs Netherlands,New Zealand,1,Devon Conway,32,40,51,5,1,80.00
New Zealand Vs Netherlands,New Zealand,2,Will Young,70,80,106,7,2,87.50
New Zealand Vs Netherlands,New Zealand,3,Rachin Ravindra,51,51,87,3,1,100.00
New Zealand Vs Netherlands,New Zealand,4,Daryl Mitchell,48,47,67,5,2,102.12
New Zealand Vs Netherlands,New Zealand,5,Tom Latham (c)†,53,46,72,6,1,115.21
New Zealand Vs Netherlands,New Zealand,6,Glenn Phillips,4,4,6,1,0,100.00
New Zealand Vs Netherlands,New Zealand,7,Mark Chapman,5,13,11,0,0,38.46
New Zealand Vs Netherlands,New Zealand,8,Mitchell Santner,36,17,25,3,2,211.76
New Zealand Vs Netherlands,New Zealand,9,Matt Henry,10,4,6,0,1,250.00
New Zealand Vs Netherlands,Netherlands,1,Vikramjit Singh,12,20,22,1,0,60.00
New Zealand Vs Netherlands,Netherlands,2,Max O'Dowd,16,31,40,2,0,51.61
New Zealand Vs Netherlands,Netherlands,3,Colin Ackermann,69,73,98,5,0,94.52
New Zealand Vs Netherlands,Netherlands,4,Bas de Leede,18,25,21,3,0,72.00
New Zealand Vs Netherlands,Netherlands,5,Teja Nidamanuru,21,26,28,2,1,80.76
New Zealand Vs Netherlands,Netherlands,6,Scott Edwards (c)†,30,27,37,2,1,111.11
New Zealand Vs Netherlands,Netherlands,7,Sybrand Engelbrecht,29,34,55,3,0,85.29
New Zealand Vs Netherlands,Netherlands,8,Roelof van der Merwe,1,6,9,0,0,16.66
New Zealand Vs Netherlands,Netherlands,9,Ryan Klein,8,15,23,0,0,53.33
New Zealand Vs Netherlands,Netherlands,10,Aryan Dutt,11,20,19,0,1,55.00
New Zealand Vs Netherlands,Netherlands,11,Paul van Meekeren,4,3,5,1,0,133.33
Australia Vs India,Australia,1,David Warner,41,52,76,6,0,78.84
Australia Vs India,Australia,2,Mitchell Marsh,0,6,11,0,0,0.00
Australia Vs India,Australia,3,Steven Smith,46,71,112,5,0,64.78
Australia Vs India,Australia,4,Marnus Labuschagne,27,41,58,1,0,65.85
Australia Vs India,Australia,5,Glenn Maxwell,15,25,44,1,0,60.00
Australia Vs India,Australia,6,Alex Carey †,0,2,1,0,0,0.00
Australia Vs India,Australia,7,Cameron Green,8,20,31,0,0,40.00
Australia Vs India,Australia,8,Pat Cummins (c),15,24,26,1,1,62.50
Australia Vs India,Australia,9,Mitchell Starc,28,35,58,2,1,80.00
Australia Vs India,Australia,10,Adam Zampa,6,20,28,0,0,30.00
Australia Vs India,Australia,11,Josh Hazlewood,1,1,6,0,0,100.00
Australia Vs India,India,1,Rohit Sharma (c),0,6,10,0,0,0.00
Australia Vs India,India,2,Ishan Kishan,0,1,3,0,0,0.00
Australia Vs India,India,3,Virat Kohli,85,116,171,6,0,73.27
Australia Vs India,India,4,Shreyas Iyer,0,3,2,0,0,0.00
Australia Vs India,India,5,KL Rahul †,97,115,180,8,2,84.34
Australia Vs India,India,6,Hardik Pandya,11,8,17,0,1,137.50
South Africa Vs Sri Lanka,South Africa,1,Quinton de Kock †,100,84,140,12,3,119.04
South Africa Vs Sri Lanka,South Africa,2,Temba Bavuma (c),8,5,9,2,0,160.00
South Africa Vs Sri Lanka,South Africa,3,Rassie van der Dussen,108,110,161,13,2,98.18
South Africa Vs Sri Lanka,South Africa,4,Aiden Markram,106,54,84,14,3,196.29
South Africa Vs Sri Lanka,South Africa,5,Heinrich Klaasen,32,20,30,1,3,160.00
South Africa Vs Sri Lanka,South Africa,6,David Miller,39,21,36,3,2,185.71
South Africa Vs Sri Lanka,South Africa,7,Marco Jansen,12,7,15,0,1,171.42
South Africa Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,0,3,6,0,0,0.00
South Africa Vs Sri Lanka,Sri Lanka,2,Kusal Perera,7,15,42,1,0,46.66
South Africa Vs Sri Lanka,Sri Lanka,3,Kusal Mendis †,76,42,55,4,8,180.95
South Africa Vs Sri Lanka,Sri Lanka,4,Sadeera Samarawickrama,23,19,22,3,1,121.05
South Africa Vs Sri Lanka,Sri Lanka,5,Charith Asalanka,79,65,83,8,4,121.53
South Africa Vs Sri Lanka,Sri Lanka,6,Dhananjaya de Silva,11,14,28,1,0,78.57
South Africa Vs Sri Lanka,Sri Lanka,7,Dasun Shanaka (c),68,62,86,6,3,109.67
South Africa Vs Sri Lanka,Sri Lanka,8,Dunith Wellalage,0,1,2,0,0,0.00
South Africa Vs Sri Lanka,Sri Lanka,9,Kasun Rajitha,33,31,52,4,1,106.45
South Africa Vs Sri Lanka,Sri Lanka,10,Matheesha Pathirana,5,16,25,1,0,31.25
South Africa Vs Sri Lanka,Sri Lanka,11,Dilshan Madushanka,4,2,4,1,0,200.00
Afghanistan Vs Bangladesh,Afghanistan,1,Rahmanullah Gurbaz †,47,62,112,4,1,75.80
Afghanistan Vs Bangladesh,Afghanistan,2,Ibrahim Zadran,22,25,41,3,1,88.00
Afghanistan Vs Bangladesh,Afghanistan,3,Rahmat Shah,18,25,30,1,0,72.00
Afghanistan Vs Bangladesh,Afghanistan,4,Hashmatullah Shahidi (c),18,38,34,2,0,47.36
Afghanistan Vs Bangladesh,Afghanistan,5,Najibullah Zadran,5,13,16,0,0,38.46
Afghanistan Vs Bangladesh,Afghanistan,6,Mohammad Nabi,6,12,19,0,0,50.00
Afghanistan Vs Bangladesh,Afghanistan,7,Azmatullah Omarzai,22,20,32,4,0,110.00
Afghanistan Vs Bangladesh,Afghanistan,8,Rashid Khan,9,16,16,1,0,56.25
Afghanistan Vs Bangladesh,Afghanistan,9,Mujeeb Ur Rahman,1,4,9,0,0,25.00
Afghanistan Vs Bangladesh,Afghanistan,10,Naveen-ul-Haq,0,6,8,0,0,0.00
Afghanistan Vs Bangladesh,Afghanistan,11,Fazalhaq Farooqi,0,3,3,0,0,0.00
Afghanistan Vs Bangladesh,Bangladesh,1,Tanzid Hasan,5,13,19,1,0,38.46
Afghanistan Vs Bangladesh,Bangladesh,2,Litton Das,13,18,29,2,0,72.22
Afghanistan Vs Bangladesh,Bangladesh,3,Mehidy Hasan Miraz,57,73,89,5,0,78.08
Afghanistan Vs Bangladesh,Bangladesh,4,Najmul Hossain Shanto,59,83,112,3,1,71.08
Afghanistan Vs Bangladesh,Bangladesh,5,Shakib Al Hasan (c),14,19,24,2,0,73.68
Afghanistan Vs Bangladesh,Bangladesh,6,Mushfiqur Rahim †,2,3,6,0,0,66.66
Pakistan Vs Netherlands,Pakistan,1,Fakhar Zaman,12,15,14,3,0,80.00
Pakistan Vs Netherlands,Pakistan,2,Imam-ul-Haq,15,19,40,2,0,78.94
Pakistan Vs Netherlands,Pakistan,3,Babar Azam (c),5,18,20,0,0,27.77
Pakistan Vs Netherlands,Pakistan,4,Mohammad Rizwan †,68,75,104,8,0,90.66
Pakistan Vs Netherlands,Pakistan,5,Saud Shakeel,68,52,84,9,1,130.76
Pakistan Vs Netherlands,Pakistan,6,Iftikhar Ahmed,9,11,22,1,0,81.81
Pakistan Vs Netherlands,Pakistan,7,Mohammad Nawaz,39,43,66,4,0,90.69
Pakistan Vs Netherlands,Pakistan,8,Shadab Khan,32,34,42,2,1,94.11
Pakistan Vs Netherlands,Pakistan,9,Hasan Ali,0,1,2,0,0,0.00
Pakistan Vs Netherlands,Pakistan,10,Shaheen Shah Afridi,13,12,23,2,0,108.33
Pakistan Vs Netherlands,Pakistan,11,Haris Rauf,16,14,10,2,1,114.28
Pakistan Vs Netherlands,Netherlands,1,Vikramjit Singh,52,67,97,4,1,77.61
Pakistan Vs Netherlands,Netherlands,2,Max O'Dowd,5,12,24,1,0,41.66
Pakistan Vs Netherlands,Netherlands,3,Colin Ackermann,17,21,24,3,0,80.95
Pakistan Vs Netherlands,Netherlands,4,Bas de Leede,67,68,92,6,2,98.52
Pakistan Vs Netherlands,Netherlands,5,Teja Nidamanuru,5,9,10,1,0,55.55
Pakistan Vs Netherlands,Netherlands,6,Scott Edwards (c)†,0,2,2,0,0,0.00
Pakistan Vs Netherlands,Netherlands,7,Saqib Zulfiqar,10,18,24,1,0,55.55
Pakistan Vs Netherlands,Netherlands,8,Roelof van der Merwe,4,7,18,0,0,57.14
Pakistan Vs Netherlands,Netherlands,9,Logan van Beek,28,28,36,3,1,100.00
Pakistan Vs Netherlands,Netherlands,10,Aryan Dutt,1,2,6,0,0,50.00
Pakistan Vs Netherlands,Netherlands,11,Paul van Meekeren,7,12,17,1,0,58.33
England Vs New Zealand,England,1,Jonny Bairstow,33,35,57,4,1,94.28
England Vs New Zealand,England,2,Dawid Malan,14,24,36,2,0,58.33
England Vs New Zealand,England,3,Joe Root,77,86,140,4,1,89.53
England Vs New Zealand,England,4,Harry Brook,25,16,20,4,1,156.25
England Vs New Zealand,England,5,Moeen Ali,11,17,20,1,0,64.70
England Vs New Zealand,England,6,Jos Buttler (c)†,43,42,48,2,2,102.38
England Vs New Zealand,England,7,Liam Livingstone,20,22,23,3,0,90.90
England Vs New Zealand,England,8,Sam Curran,14,19,30,0,0,73.68
England Vs New Zealand,England,9,Chris Woakes,11,12,15,1,0,91.66
England Vs New Zealand,England,10,Adil Rashid,15,13,23,0,1,115.38
England Vs New Zealand,England,11,Mark Wood,13,14,19,0,0,92.85
England Vs New Zealand,New Zealand,1,Devon Conway,152,121,147,19,3,125.61
England Vs New Zealand,New Zealand,2,Will Young,0,1,5,0,0,0.00
England Vs New Zealand,New Zealand,3,Rachin Ravindra,123,96,141,11,5,128.12
